projectId,query,url,catg,subcatg,clics,impressions,position,ctr,entity,score,GSC_score,TA_score
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,centímetro,0.0,23.28,13.97
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,clic (informática),28.31,23.28,25.3
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,código postal,10.98,23.28,18.36
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,aeg,4.21,23.28,15.66
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,aire,21.0,23.28,22.38
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,alergia,59.3,23.28,37.7
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,alérgeno,18.97,23.28,21.56
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,amperio-hora,21.81,23.28,22.7
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,aspiradora,100.0,23.28,53.97
64abe0de4b12b062d35c5f95,aeg 8000 vacuum cleaner,https://www.lacasadelelectrodomestico.com/Articulo~x~Aspirador-aeg-ap81hb25sh~IDArticulo~189208.html,Aspiradoras,Marcas Destacadas de Aspiradoras,1,2,11.0,0.5,batería (electricidad),38.34,23.28,29.31
